name,value,file,id
☞ Endereço," Av. Getúlio Vargas, Bairro: Centro - Monte Belo/MG - CEP 37115-000",data/raw/cartorios-de-monte-belo-mg.html,0
✉ Email, [email protected] ,data/raw/cartorios-de-monte-belo-mg.html,0
 Telefone(s), (35) 3573-1132 ,data/raw/cartorios-de-monte-belo-mg.html,0
ável," Antônio Francisco de Lima Cardoso Telefone, endereço, e-mail e todos os dados do(a) Vara Única da Comarca de Monte Belo",data/raw/cartorios-de-monte-belo-mg.html,0
Situação do Cartório, Ativo Escrivão(ã) Titular: Jacinta Flôr Dantas Muniz desde 15/04/1998,data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,0
Situação do responsável," VAGO Escrivão(ã) Substituto(a): Não Possui Substituto Informado. Atribuições: • Registro de Distribuição ☞ Endereço: Vila Santa Maria, 2, Bairro: Centro - São João do Rio do Peixe/PB - CEP 58910-000",data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,0
✉ Email, [email protected] ,data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,0
 Telefone(s)," (83) 99883-3526 Horário de funcionamento: Segunda a Sexta. De: 00:00 Até: 00:00 Cartório Informatizado: Sim Com Internet: Sim Data da Criação: 20/09/1947 CNS: 06.945-0 Telefone, endereço, e-mail e todos os dados do Cartório de Distribuição Extrajudicial",data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,0
☞ Endereço," João Dantas Rotéa, Bairro: Populares - São João do Rio do Peixe/PB - CEP 58910-000",data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,1
✉ Email, [email protected] ,data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,1
 Telefone(s), (85) 3535-2550 ,data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,1
ável," Israel de Souza Filho Telefone, endereço, e-mail e todos os dados do(a) 2ª Vara Mista de São João do Rio do Peixe",data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,1
☞ Endereço," Forum João Bernardo de Albuquerque, Bairro: Populares - São João do Rio do Peixe/PB - CEP 58910-000",data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,2
✉ Email, [email protected] ,data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,2
 Telefone(s), (83) 3535-2550 ,data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,2
ável," Marilia Medeiros de Amorim Telefone, endereço, e-mail e todos os dados do(a) 1ª Vara Mista de São João do Rio do Peixe",data/raw/cartorios-de-sao-joao-do-rio-do-peixe-pb.html,2
☞ Endereço," Rua Waldemar Ernesto Glufke, Bairro: Centro - Mondaí/SC - CEP 89893-000",data/raw/cartorios-de-mondai-sc.html,0
✉ Email, [email protected] ,data/raw/cartorios-de-mondai-sc.html,0
 Telefone(s), (49) 3674-3004 ,data/raw/cartorios-de-mondai-sc.html,0
ável," Ricardo da Silva Conter Telefone, endereço, e-mail e todos os dados do(a) Vara Única da Comarca de Mondaí",data/raw/cartorios-de-mondai-sc.html,0
☞ Endereço," Rua Bernardino Carvalhais, 177, Bairro: Centro - Rio Vermelho/MG - CEP 39170-000",data/raw/cartorios-de-rio-vermelho-mg.html,0
✉ Email, [email protected] ,data/raw/cartorios-de-rio-vermelho-mg.html,0
